ID,WHOID,WHATId,SUBJECT,ACTIVITYDATE,STATUS,PRIORITY,ISHIGHPRIORITY,OWNERID,DESCRIPTION,ISDELETED,ACCOUNTID,ISCLOSED,CREATEDDATE,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,ISARCHIVED,CALLDURATIONINSECONDS,CALLTYPE,CALLDISPOSITION,CALLOBJECT,REMINDERDATETIME,ISREMINDERSET,RECURRENCEACTIVITYID,ISRECURRENCE,RECURRENCESTARTDATEONLY,RECURRENCEENDDATEONLY,RECURRENCETIMEZONESIDKEY,RECURRENCETYPE,RECURRENCEINTERVAL,RECURRENCEDAYOFWEEKMASK,RECURRENCEDAYOFMONTH,RECURRENCEINSTANCE,RECURRENCEMONTHOFYEAR,RECURRENCEREGENERATEDTYPE,TASKSUBTYPE,DISPOSITION__C,INCONTACT_CONTACT_ID__C,SKILL_NAME__C,TEAM_NAME__C,ANI__C,AGENT_NAME__C,CALLBACK_TIME__C,CALL_DIRECTION__C,CALL_DURATION_IN_SECONDS__C,CALL_START_DATE_AND_TIME__C,CALL_END_DATE_AND_TIME__C,COMMITMENT_AMOUNT__C,CUSTOM_VALUE_1__C,CUSTOM_VALUE_2__C,DNIS__C,SECONDARY_DISPOSITION__C,TAGS__C
,,50055000007OlJiAAK,Known Issue,,Completed,Low,,0054P00000Av1QaQAJ,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,,,TRUE,2019-10-14T05:09:15.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,86174492012,Chimerical Auto Inbound,Router Support,880-792-0179,Charles Xavier,,Inbound,77,2019-10-14T05:09:15Z,,,Email,,209-871-2486,Services,New Product
,,50055000007OlJjAAK,Product Inquiry,,Completed,Medium,,0054P00000Av1QuQAJ,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,,,TRUE,2019-02-15T17:24:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,81766556207,Chimerical Auto Inbound,Cable TV Support,351-458-1403,Tony Stark,,Inbound,182,2019-02-15T17:24:33Z,,,Chat,,779-391-6072,Human Resources,Fall Campaign
,,50055000007OlJkAAK,Product Support,,Completed,Medium,,0054P00000Av1QLQAZ,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,,,TRUE,2019-09-25T07:44:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,85583401390,Chimerical Auto Outbound,Cable TV Support,280-267-7043,Tony Stark,,Outbound,180,2019-09-25T07:44:53Z,,,Chat,,372-764-4333,Marketing,Fall Campaign
,,50055000007OlJlAAK,Product Inquiry,,Completed,Medium,,0054P00000Av1QzQAJ,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,,,TRUE,2019-06-14T21:47:21.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,83548078456,Router Issues,Auto Agent,531-875-4146,Tony Stark,,Inbound,237,2019-06-14T21:47:21Z,,,Chat,,208-409-4194,Accounting,Known Issue
,,50055000007OlJmAAK,General Inquiry,,Completed,Medium,,0054P00000Av1PrQAJ,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,,,TRUE,2019-07-11T12:51:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,86952444305,Chimerical Auto Inbound,Cable TV Support,158-224-1862,Charles Xavier,,Outbound,291,2019-07-11T12:51:02Z,,,Call,,296-373-7116,Marketing,Upgrade
,,50055000007OlJnAAK,Product Problem,,Completed,Medium,,0054P00000Av1QGQAZ,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,,,TRUE,2019-06-17T19:35:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,83720912153,Chimerical Auto Outbound,Router Support,817-273-3603,Bruce Banner,,Inbound,30,2019-06-17T19:35:52Z,,,Email,,705-302-3641,Engineering,Spring Campaign
,,50055000007OlJoAAK,Product Support,,Completed,Medium,,0054P00000Av1R4QAJ,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,,,TRUE,2019-01-09T08:40:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,86830707592,Chimerical Auto Outbound,Cable TV Support,700-161-3692,Wade Wilson,,Outbound,109,2019-01-09T08:40:00Z,,,WorkItem,,449-219-1786,Sales,Upgrade
,,50055000007OlJpAAK,Known Issue,,Completed,Low,,0054P00000Av1QuQAJ,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,,,TRUE,2019-09-03T00:33:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,81666944946,Chimerical Auto Outbound,Sales,465-386-0874,Luke Cage,,Inbound,42,2019-09-03T00:33:38Z,,,WorkItem,,451-901-5247,Marketing,Spring Campaign
,,50055000007OlJqAAK,Product Support,,Completed,Low,,0054P00000Av1QaQAJ,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,,,TRUE,2019-06-08T02:15:25.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,89825124805,Cable TV Issues,Sales,126-764-9117,Steve Rogers,,Outbound,52,2019-06-08T02:15:25Z,,,Email,,773-302-1314,Business Development,Hot Lead
,,50055000007OlJrAAK,Product Support,,Completed,Medium,,0054P00000Av1QzQAJ,non mi integer ac neque duis bibendum morbi non quam nec dui,,,TRUE,2018-11-27T23:25:41.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,86167834401,Cable TV Issues,Cable TV Support,787-416-0369,Peter Parker,,Inbound,76,2018-11-27T23:25:41Z,,,Email,,289-940-4379,Sales,Hot Lead
,,50055000007OlJsAAK,Product Inquiry,,Completed,Low,,0054P00000Av1QGQAZ,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,,,TRUE,2019-07-15T14:47:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,88721640152,Chimerical Auto Workitem,Sales,928-299-0294,Steve Rogers,,Inbound,53,2019-07-15T14:47:45Z,,,Email,,183-685-1532,Legal,Spring Campaign
,,50055000007OlJtAAK,General Inquiry,,Completed,Low,,0054P00000Av1QuQAJ,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,,,TRUE,2019-06-01T17:01:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,83278783219,Chimerical Auto Workitem,Cable TV Support,768-587-4983,Luke Cage,,Outbound,60,2019-06-01T17:01:03Z,,,Chat,,152-220-7802,Business Development,Upgrade
,,50055000007OlJuAAK,Product Support,,Completed,Low,,0054P00000Av1PrQAJ,id pretium iaculis diam erat fermentum justo nec condimentum neque,,,TRUE,2019-09-08T13:09:22.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,86194711498,Chimerical Auto Outbound,Auto Agent,379-741-2344,Peter Parker,,Outbound,202,2019-09-08T13:09:22Z,,,Email,,702-653-0780,Research and Development,Fall Campaign
,,50055000007OlJvAAK,General Inquiry,,Completed,Low,,0054P00000Av1QuQAJ,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,,,TRUE,2018-11-20T12:37:04.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,85898949485,Chimerical Auto Workitem,Cable TV Support,190-879-2524,Clint Barton,,Inbound,204,2018-11-20T12:37:04Z,,,Call,,108-995-7085,Human Resources,Spring Campaign
,,50055000007OlJwAAK,Product Problem,,Completed,Medium,,0054P00000Av1QkQAJ,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,,,TRUE,2019-05-08T15:57:54.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,84559154640,Cable TV Issues,Router Support,703-638-6972,Charles Xavier,,Outbound,262,2019-05-08T15:57:54Z,,,Call,,946-668-7830,Marketing,Spring Campaign
,,50055000007OlJxAAK,General Inquiry,,Completed,High,,0054P00000Av1QfQAJ,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,,,TRUE,2019-09-20T07:30:54.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,87116174695,Chimerical Auto Outbound,Auto Agent,216-219-6023,Charles Xavier,,Inbound,89,2019-09-20T07:30:54Z,,,Email,,450-329-0943,Services,New Product
,,50055000007OlJyAAK,Known Issue,,Completed,Medium,,0054P00000Av1QGQAZ,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,,,TRUE,2019-01-17T16:57:23.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,86380985598,Chimerical Auto Inbound,Sales,436-568-6849,Charles Xavier,,Inbound,88,2019-01-17T16:57:23Z,,,Call,,236-298-6119,Engineering,Spring Campaign
,,50055000007OlJzAAK,Known Issue,,Completed,Medium,,0054P00000Av1R4QAJ,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,,,TRUE,2019-07-02T07:24:55.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,85808108677,Chimerical Auto Outbound,Sales,859-316-2959,Clint Barton,,Inbound,38,2019-07-02T07:24:55Z,,,WorkItem,,956-925-0961,Research and Development,New Product
,,50055000007OlK0AAK,Product Support,,Completed,Low,,0054P00000Av1QLQAZ,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,,,TRUE,2019-05-20T00:30:29.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,89771084992,Broadband Sales,Cable TV Support,300-408-2594,Wade Wilson,,Inbound,182,2019-05-20T00:30:29Z,,,Chat,,712-724-7132,Business Development,Upgrade
,,50055000007OlK1AAK,Known Issue,,Completed,High,,0054P00000Av1QLQAZ,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,,,TRUE,2019-04-04T07:58:55.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,81713517667,Chimerical Auto Outbound,Cable TV Support,871-649-8848,Steve Rogers,,Outbound,253,2019-04-04T07:58:55Z,,,Chat,,138-543-8200,Human Resources,Hot Lead
,,50055000007OlK2AAK,General Inquiry,,Completed,High,,0054P00000Av1QzQAJ,neque aenean auctor gravida sem praesent id massa id nisl venenatis,,,TRUE,2019-10-15T16:26:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,86637835951,Broadband Sales,Sales,401-919-5208,Wade Wilson,,Outbound,225,2019-10-15T16:26:00Z,,,WorkItem,,592-139-7498,Support,Fall Campaign
,,50055000007OlK3AAK,Product Problem,,Completed,Medium,,0054P00000Av1R4QAJ,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,,,TRUE,2018-12-29T06:56:43.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,89749374899,Router Issues,Auto Agent,408-165-1953,Luke Cage,,Inbound,62,2018-12-29T06:56:43Z,,,WorkItem,,413-240-1389,Marketing,Fall Campaign
,,50055000007OlK4AAK,General Inquiry,,Completed,Low,,0054P00000Av1QGQAZ,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,,,TRUE,2019-01-01T16:08:43.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,84023664598,Chimerical Auto Inbound,Auto Agent,376-785-7156,Clint Barton,,Inbound,234,2019-01-01T16:08:43Z,,,Email,,462-155-8098,Product Management,New Product
,,50055000007OlK5AAK,General Inquiry,,Completed,Medium,,0054P00000Av1QfQAJ,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,,,TRUE,2019-10-06T06:31:48.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,83873746257,Chimerical Auto Inbound,Cable TV Support,349-550-6791,Wade Wilson,,Outbound,141,2019-10-06T06:31:48Z,,,Email,,441-225-6701,Engineering,Fall Campaign
,,50055000007OlK6AAK,Known Issue,,Completed,Medium,,0054P00000Av1QkQAJ,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,,,TRUE,2019-04-11T21:44:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,82948730719,Chimerical Auto Workitem,Cable TV Support,764-814-3374,Clint Barton,,Inbound,163,2019-04-11T21:44:59Z,,,Call,,116-873-0858,Human Resources,Fall Campaign
,,50055000007OlK7AAK,Product Support,,Completed,Medium,,0054P00000Av1QuQAJ,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,,,TRUE,2019-04-04T17:53:15.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,86276402311,Router Issues,Router Support,746-480-8128,Wade Wilson,,Inbound,63,2019-04-04T17:53:15Z,,,WorkItem,,713-303-3951,Engineering,Fall Campaign
,,50055000007OlK8AAK,Known Issue,,Completed,Low,,0054P00000Av1R4QAJ,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,,,TRUE,2018-12-18T16:58:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,81421242953,Router Issues,Router Support,651-641-4053,Steve Rogers,,Inbound,150,2018-12-18T16:58:40Z,,,WorkItem,,415-663-5266,Research and Development,Fall Campaign
,,50055000007OlK9AAK,Known Issue,,Completed,Medium,,0054P00000Av1QaQAJ,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,,,TRUE,2019-04-03T08:48:53.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,88830723497,Chimerical Auto Workitem,Router Support,307-372-6773,Steve Rogers,,Inbound,193,2019-04-03T08:48:53Z,,,WorkItem,,944-544-9764,Accounting,Upgrade
,,50055000007OlKAAA0,General Inquiry,,Completed,High,,0054P00000Av1QGQAZ,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,,,TRUE,2019-04-04T08:05:30.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,89111326745,Broadband Sales,Router Support,345-518-6234,Justin Case,,Outbound,51,2019-04-04T08:05:30Z,,,Call,,834-502-6605,Support,New Product
,,50055000007OlKBAA0,Product Support,,Completed,High,,0054P00000Av1QGQAZ,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,,,TRUE,2018-11-02T07:41:02.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,83546165674,Cable TV Issues,Auto Agent,888-313-5241,Justin Case,,Inbound,112,2018-11-02T07:41:02Z,,,Call,,892-589-7201,Support,Known Issue
,,50055000007OlKCAA0,General Inquiry,,Completed,Low,,0054P00000Av1QaQAJ,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,,,TRUE,2019-05-20T23:14:26.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,86027734629,Router Issues,Sales,400-599-3992,Steve Rogers,,Inbound,214,2019-05-20T23:14:26Z,,,WorkItem,,105-912-8100,Human Resources,Upgrade
,,50055000007OlKDAA0,Product Support,,Completed,High,,0054P00000Av1QaQAJ,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,,,TRUE,2019-04-23T20:25:40.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,87759608361,Chimerical Auto Workitem,Auto Agent,237-761-0842,Justin Case,,Inbound,102,2019-04-23T20:25:40Z,,,Chat,,314-973-0837,Sales,Upgrade
,,50055000007OlKEAA0,Product Problem,,Completed,Low,,0054P00000Av1QzQAJ,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,,,TRUE,2019-08-16T20:28:42.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,85823523251,Chimerical Auto Outbound,Cable TV Support,751-474-2341,Tony Stark,,Outbound,56,2019-08-16T20:28:42Z,,,Chat,,192-147-1320,Research and Development,Hot Lead
,,50055000007OlKFAA0,General Inquiry,,Completed,Low,,0054P00000Av1QaQAJ,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,,,TRUE,2018-10-31T10:17:34.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,89668244179,Chimerical Auto Workitem,Router Support,114-851-8773,Clint Barton,,Outbound,299,2018-10-31T10:17:34Z,,,Call,,630-922-9773,Services,Upgrade
,,50055000007OlKGAA0,General Inquiry,,Completed,High,,0054P00000Av1QfQAJ,volutpat quam pede lobortis ligula sit amet eleifend pede libero,,,TRUE,2019-03-19T06:02:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,86773231467,Router Issues,Sales,632-267-9094,Wade Wilson,,Outbound,158,2019-03-19T06:02:33Z,,,Call,,341-312-4221,Services,New Product
,,50055000007OlKHAA0,Product Inquiry,,Completed,Medium,,0054P00000Av1QzQAJ,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,,,TRUE,2019-07-29T14:29:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,88811883655,Broadband Sales,Auto Agent,856-597-8774,Justin Case,,Outbound,289,2019-07-29T14:29:38Z,,,WorkItem,,282-965-7918,Research and Development,Known Issue
,,50055000007OlKIAA0,Product Support,,Completed,High,,0054P00000Av1QuQAJ,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,,,TRUE,2019-03-22T12:14:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,88528015132,Cable TV Issues,Router Support,892-705-4039,Wade Wilson,,Inbound,148,2019-03-22T12:14:00Z,,,Chat,,464-881-8998,Services,Fall Campaign
,,50055000007OlKJAA0,Product Problem,,Completed,Medium,,0054P00000Av1QkQAJ,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,,,TRUE,2019-03-19T16:40:56.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,84675933286,Cable TV Issues,Sales,223-655-8007,Tony Stark,,Inbound,62,2019-03-19T16:40:56Z,,,Chat,,942-180-5027,Business Development,New Product
,,50055000007OlKKAA0,General Inquiry,,Completed,Medium,,0054P00000Av1QkQAJ,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,,,TRUE,2019-04-14T19:17:21.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,85327896112,Router Issues,Cable TV Support,975-252-9223,Luke Cage,,Inbound,122,2019-04-14T19:17:21Z,,,Email,,861-628-3580,Research and Development,New Product
,,50055000007OlKLAA0,Product Inquiry,,Completed,Low,,0054P00000Av1QGQAZ,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,,,TRUE,2019-01-05T14:58:41.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,82605938277,Chimerical Auto Workitem,Cable TV Support,260-690-1391,Wade Wilson,,Outbound,42,2019-01-05T14:58:41Z,,,WorkItem,,575-277-4107,Support,Known Issue
,,50055000007OlKMAA0,Product Inquiry,,Completed,High,,0054P00000Av1QzQAJ,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,,,TRUE,2019-05-26T16:17:07.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,89431674905,Chimerical Auto Inbound,Auto Agent,118-389-0154,Justin Case,,Inbound,144,2019-05-26T16:17:07Z,,,Email,,373-135-8834,Engineering,Hot Lead
,,50055000007OlKNAA0,Product Support,,Completed,High,,0054P00000Av1QLQAZ,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,,,TRUE,2018-12-23T17:24:14.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,84625691268,Cable TV Issues,Sales,104-239-5821,Tony Stark,,Inbound,131,2018-12-23T17:24:14Z,,,Call,,319-406-1562,Services,Known Issue
,,50055000007OlKOAA0,Known Issue,,Completed,Medium,,0054P00000Av1QzQAJ,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,,,TRUE,2019-08-24T10:54:19.000Z,,,,,,,,,,,,,,,,,,,,,,,,Paid Bill,89103087725,Chimerical Auto Inbound,Cable TV Support,161-876-0457,Luke Cage,,Outbound,261,2019-08-24T10:54:19Z,,,Call,,361-789-7730,Research and Development,New Product
,,50055000007OlKPAA0,Product Problem,,Completed,Low,,0054P00000Av1QGQAZ,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,,,TRUE,2018-11-25T12:38:21.000Z,,,,,,,,,,,,,,,,,,,,,,,,Skill Callback Any Agent,82089632697,Broadband Sales,Router Support,975-652-7882,Steve Rogers,,Outbound,134,2018-11-25T12:38:21Z,,,Call,,819-734-8510,Support,Hot Lead
,,50055000007OlKQAA0,Known Issue,,Completed,High,,0054P00000Av1QkQAJ,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,,,TRUE,2019-09-15T05:03:01.000Z,,,,,,,,,,,,,,,,,,,,,,,,General Questions,89548428232,Chimerical Auto Outbound,Auto Agent,352-867-6217,Justin Case,,Outbound,79,2019-09-15T05:03:01Z,,,WorkItem,,630-180-3760,Training,Known Issue
,,50055000007OlKRAA0,General Inquiry,,Completed,Low,,0054P00000Av1QkQAJ,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,,,TRUE,2019-05-28T04:54:34.000Z,,,,,,,,,,,,,,,,,,,,,,,,Issue Resolved,82367033644,Router Issues,Auto Agent,343-779-6576,Tony Stark,,Outbound,162,2019-05-28T04:54:34Z,,,WorkItem,,841-515-7173,Training,Known Issue
