CALL_DURATION_IN_SECONDS__C (Agent Seconds),IncontactId,First Name,Last Name,Media Type,Skill Name,Team Name,Call Duration,Contact Start
218,84468303069,Steve,Rogers,Chat,Chimerical Auto Workitem,Router Support,218,2019-01-07T22:19:02.000Z
109,84959494097,Wade,Wilson,Chat,Chimerical Auto Workitem,Sales,109,2018-12-19T17:17:53.000Z
271,83805103532,Charles,Xavier,Call,Chimerical Auto Workitem,Router Support,271,2019-08-03T12:03:36.000Z
41,84516170267,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,41,2019-05-31T14:19:32.000Z
101,86757956059,Steve,Rogers,Call,Chimerical Auto Workitem,Sales,101,2019-01-13T22:00:22.000Z
137,86600377767,Justin,Case,Email,Chimerical Auto Workitem,Sales,137,2019-03-09T12:58:20.000Z
82,89961181239,Peter,Parker,Email,Chimerical Auto Workitem,Cable TV Support,82,2019-08-14T22:53:05.000Z
168,89226477821,Tony,Stark,Email,Chimerical Auto Workitem,Auto Agent,168,2018-10-28T13:10:06.000Z
91,82198985522,Charles,Xavier,Chat,Chimerical Auto Workitem,Cable TV Support,91,2018-11-14T18:57:56.000Z
273,89025660111,Bruce,Banner,Chat,Chimerical Auto Workitem,Router Support,273,2019-01-23T16:06:14.000Z
243,86192622322,Clint,Barton,WorkItem,Chimerical Auto Workitem,Sales,243,2019-04-28T07:17:52.000Z
65,85800412101,Bruce,Banner,Chat,Chimerical Auto Workitem,Cable TV Support,65,2019-02-16T18:43:39.000Z
286,82905285127,Peter,Parker,WorkItem,Chimerical Auto Workitem,Router Support,286,2018-12-13T03:24:04.000Z
177,84526390475,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Sales,177,2018-11-09T03:04:13.000Z
235,82772943233,Clint,Barton,Call,Chimerical Auto Workitem,Router Support,235,2019-05-28T03:46:20.000Z
289,81874925115,Steve,Rogers,Call,Chimerical Auto Workitem,Sales,289,2019-02-09T05:21:54.000Z
250,85498582718,Charles,Xavier,WorkItem,Chimerical Auto Workitem,Sales,250,2019-03-20T14:20:53.000Z
194,86717387763,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Auto Agent,194,2019-03-02T11:14:42.000Z
126,86864015775,Justin,Case,Call,Chimerical Auto Workitem,Cable TV Support,126,2019-01-01T23:35:27.000Z
227,84435833506,Tony,Stark,WorkItem,Chimerical Auto Workitem,Router Support,227,2019-01-06T04:42:36.000Z
104,86993297090,Peter,Parker,WorkItem,Chimerical Auto Workitem,Cable TV Support,104,2019-01-30T14:43:41.000Z
133,87729704788,Steve,Rogers,Call,Chimerical Auto Workitem,Auto Agent,133,2018-10-26T11:38:00.000Z
41,88903798265,Bruce,Banner,Email,Chimerical Auto Workitem,Cable TV Support,41,2018-11-07T22:34:46.000Z
89,86195471175,Tony,Stark,WorkItem,Chimerical Auto Workitem,Sales,89,2019-09-21T10:14:11.000Z
137,86821041890,Tony,Stark,WorkItem,Chimerical Auto Workitem,Auto Agent,137,2018-12-20T16:21:11.000Z
208,86982676630,Charles,Xavier,WorkItem,Chimerical Auto Workitem,Sales,208,2019-04-27T09:02:15.000Z
119,84986122459,Luke,Cage,Call,Chimerical Auto Workitem,Sales,119,2019-10-01T06:41:52.000Z
169,88266739935,Bruce,Banner,Call,Chimerical Auto Workitem,Router Support,169,2019-02-13T17:45:05.000Z
231,86462085566,Luke,Cage,WorkItem,Chimerical Auto Workitem,Auto Agent,231,2019-08-18T14:14:36.000Z
149,81682730388,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Sales,149,2018-11-17T17:17:49.000Z
264,87852424317,Justin,Case,Email,Chimerical Auto Workitem,Cable TV Support,264,2019-03-01T08:04:58.000Z
174,83337678103,Tony,Stark,WorkItem,Chimerical Auto Workitem,Sales,174,2019-05-23T15:31:53.000Z
111,82686748589,Wade,Wilson,Email,Chimerical Auto Workitem,Sales,111,2019-08-19T09:19:23.000Z
53,83856937440,Charles,Xavier,Chat,Chimerical Auto Workitem,Auto Agent,53,2018-10-17T21:15:28.000Z
217,89369615668,Luke,Cage,WorkItem,Chimerical Auto Workitem,Router Support,217,2019-09-18T06:15:24.000Z
157,86201944077,Bruce,Banner,Call,Chimerical Auto Workitem,Cable TV Support,157,2019-06-30T09:05:15.000Z
51,83780175409,Luke,Cage,Email,Chimerical Auto Workitem,Cable TV Support,51,2019-04-14T03:09:35.000Z
246,85232416102,Charles,Xavier,Call,Chimerical Auto Workitem,Auto Agent,246,2019-10-09T11:47:48.000Z
54,89725446794,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Cable TV Support,54,2019-07-18T06:28:55.000Z
179,82214350774,Clint,Barton,Chat,Chimerical Auto Workitem,Auto Agent,179,2019-08-04T07:22:37.000Z
96,86604293175,Wade,Wilson,Chat,Chimerical Auto Workitem,Auto Agent,96,2019-07-09T12:07:20.000Z
172,88577777774,Luke,Cage,Chat,Chimerical Auto Workitem,Router Support,172,2019-07-31T06:24:21.000Z
251,85558074307,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,251,2019-08-19T17:56:56.000Z
173,85259592876,Steve,Rogers,Chat,Chimerical Auto Workitem,Sales,173,2018-12-29T17:03:54.000Z
136,87951793846,Clint,Barton,Chat,Chimerical Auto Workitem,Router Support,136,2019-09-22T07:31:24.000Z
203,89931868464,Tony,Stark,Call,Chimerical Auto Workitem,Auto Agent,203,2019-02-17T06:52:26.000Z
47,87859756779,Steve,Rogers,WorkItem,Chimerical Auto Workitem,Sales,47,2019-04-15T03:21:34.000Z
195,83228585291,Wade,Wilson,Call,Chimerical Auto Workitem,Auto Agent,195,2018-11-11T09:04:37.000Z
144,87149432463,Steve,Rogers,Email,Chimerical Auto Workitem,Auto Agent,144,2019-10-12T11:10:48.000Z
175,86770592420,Wade,Wilson,Email,Chimerical Auto Workitem,Sales,175,2018-11-24T21:46:04.000Z
80,86253253880,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,80,2019-02-03T03:26:21.000Z
178,83960892794,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Cable TV Support,178,2019-07-27T00:43:46.000Z
89,83492448204,Peter,Parker,Email,Chimerical Auto Workitem,Cable TV Support,89,2019-03-05T00:33:04.000Z
188,87095264266,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Sales,188,2019-01-31T18:22:57.000Z
62,82378415943,Justin,Case,Chat,Chimerical Auto Workitem,Cable TV Support,62,2019-02-21T16:05:42.000Z
24,85130142085,Clint,Barton,WorkItem,Chimerical Auto Workitem,Cable TV Support,24,2018-12-21T14:02:28.000Z
115,83373858346,Clint,Barton,Chat,Chimerical Auto Workitem,Sales,115,2019-07-05T09:47:51.000Z
258,87252487848,Wade,Wilson,Call,Chimerical Auto Workitem,Auto Agent,258,2018-11-22T07:23:53.000Z
275,84094571830,Tony,Stark,Call,Chimerical Auto Workitem,Cable TV Support,275,2019-06-14T05:18:59.000Z
73,88572842024,Peter,Parker,Chat,Chimerical Auto Workitem,Sales,73,2019-01-27T19:03:37.000Z
53,87848018709,Wade,Wilson,Chat,Chimerical Auto Workitem,Sales,53,2019-03-28T06:02:38.000Z
199,86837808336,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,199,2019-06-16T11:12:18.000Z
230,82219340620,Steve,Rogers,Chat,Chimerical Auto Workitem,Sales,230,2018-10-20T23:36:37.000Z
175,86771061778,Steve,Rogers,Call,Chimerical Auto Workitem,Auto Agent,175,2019-05-16T20:33:40.000Z
128,87310834875,Charles,Xavier,Email,Chimerical Auto Workitem,Auto Agent,128,2019-02-15T06:11:34.000Z
206,84085219521,Justin,Case,WorkItem,Chimerical Auto Workitem,Cable TV Support,206,2019-02-26T00:56:09.000Z
160,89058324153,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Cable TV Support,160,2019-04-23T00:55:04.000Z
178,84815604860,Luke,Cage,Chat,Chimerical Auto Workitem,Cable TV Support,178,2019-03-05T23:07:33.000Z
249,82817708228,Tony,Stark,Call,Chimerical Auto Workitem,Auto Agent,249,2018-11-15T05:33:07.000Z
166,85410058455,Steve,Rogers,Email,Chimerical Auto Workitem,Router Support,166,2019-06-21T03:07:50.000Z
264,88947248885,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Router Support,264,2019-02-07T13:54:49.000Z
131,82085043752,Justin,Case,Email,Chimerical Auto Workitem,Cable TV Support,131,2019-10-06T12:08:02.000Z
48,87477909119,Peter,Parker,Chat,Chimerical Auto Workitem,Router Support,48,2018-11-06T09:05:47.000Z
139,88790919585,Charles,Xavier,Call,Chimerical Auto Workitem,Sales,139,2019-05-12T05:53:06.000Z
148,88993569553,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Router Support,148,2019-02-05T18:08:42.000Z
288,87218501542,Justin,Case,WorkItem,Chimerical Auto Workitem,Auto Agent,288,2019-03-31T15:27:28.000Z
126,89781760148,Justin,Case,Email,Chimerical Auto Workitem,Cable TV Support,126,2019-02-20T00:12:29.000Z
162,87012605376,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,162,2019-03-23T20:21:54.000Z
116,84499047800,Peter,Parker,Chat,Chimerical Auto Workitem,Auto Agent,116,2019-05-05T16:55:34.000Z
262,89823819498,Justin,Case,Call,Chimerical Auto Workitem,Auto Agent,262,2019-08-23T06:03:01.000Z
266,88175259182,Peter,Parker,Chat,Chimerical Auto Workitem,Auto Agent,266,2019-07-19T18:36:28.000Z
57,81781489526,Peter,Parker,Chat,Chimerical Auto Workitem,Router Support,57,2019-07-02T17:18:42.000Z
137,88090937057,Wade,Wilson,Email,Chimerical Auto Workitem,Cable TV Support,137,2018-11-16T21:55:58.000Z
93,89089637331,Clint,Barton,Call,Chimerical Auto Workitem,Auto Agent,93,2019-06-02T02:30:11.000Z
67,85874010783,Luke,Cage,Call,Chimerical Auto Workitem,Sales,67,2019-02-15T00:46:03.000Z
231,89630438320,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Auto Agent,231,2019-03-16T13:40:01.000Z
88,83121549897,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,88,2019-06-28T16:23:43.000Z
58,83307072686,Charles,Xavier,Chat,Chimerical Auto Workitem,Auto Agent,58,2018-12-13T20:14:43.000Z
107,83597434181,Luke,Cage,WorkItem,Chimerical Auto Workitem,Cable TV Support,107,2019-07-17T00:44:02.000Z
132,88945283268,Charles,Xavier,Call,Chimerical Auto Workitem,Router Support,132,2018-11-13T02:01:34.000Z
147,83472100794,Luke,Cage,Email,Chimerical Auto Workitem,Cable TV Support,147,2018-12-25T10:32:03.000Z
274,84028970161,Clint,Barton,WorkItem,Chimerical Auto Workitem,Sales,274,2019-04-16T15:14:48.000Z
35,85281377690,Tony,Stark,WorkItem,Chimerical Auto Workitem,Cable TV Support,35,2018-12-03T05:48:28.000Z
245,86028753466,Clint,Barton,Call,Chimerical Auto Workitem,Auto Agent,245,2019-08-06T11:08:03.000Z
146,87064802446,Tony,Stark,Call,Chimerical Auto Workitem,Router Support,146,2019-05-27T23:15:34.000Z
229,87428437585,Bruce,Banner,Email,Chimerical Auto Workitem,Auto Agent,229,2018-12-23T14:46:23.000Z
268,88441159810,Clint,Barton,Email,Chimerical Auto Workitem,Auto Agent,268,2019-03-13T08:44:56.000Z
48,85700263737,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Auto Agent,48,2018-11-23T13:54:19.000Z
93,86785365221,Tony,Stark,Chat,Chimerical Auto Workitem,Router Support,93,2019-05-17T18:51:35.000Z
111,88429080006,Justin,Case,WorkItem,Chimerical Auto Workitem,Cable TV Support,111,2019-05-14T00:56:55.000Z
207,81733585575,Peter,Parker,WorkItem,Chimerical Auto Workitem,Cable TV Support,207,2019-04-04T08:00:09.000Z
182,88287615297,Charles,Xavier,Chat,Chimerical Auto Workitem,Sales,182,2019-06-06T03:47:31.000Z
88,89106624212,Tony,Stark,Call,Chimerical Auto Workitem,Router Support,88,2019-03-21T07:42:25.000Z
207,86835364858,Bruce,Banner,Call,Chimerical Auto Workitem,Cable TV Support,207,2019-09-17T07:38:14.000Z
163,87490763346,Charles,Xavier,Chat,Chimerical Auto Workitem,Auto Agent,163,2018-12-24T05:45:12.000Z
260,89742823707,Clint,Barton,Email,Chimerical Auto Workitem,Sales,260,2019-09-04T07:27:25.000Z
97,89837599762,Luke,Cage,Chat,Chimerical Auto Workitem,Sales,97,2019-01-30T05:24:07.000Z
31,84147782608,Clint,Barton,Email,Chimerical Auto Workitem,Router Support,31,2019-03-05T23:03:12.000Z
26,84640686456,Peter,Parker,Call,Chimerical Auto Workitem,Router Support,26,2019-08-22T18:32:56.000Z
203,87631778592,Tony,Stark,WorkItem,Chimerical Auto Workitem,Router Support,203,2019-02-16T12:42:07.000Z
276,87925106846,Justin,Case,WorkItem,Chimerical Auto Workitem,Cable TV Support,276,2019-01-24T03:20:09.000Z
196,82939375027,Charles,Xavier,Chat,Chimerical Auto Workitem,Auto Agent,196,2019-01-23T21:13:40.000Z
286,82573068765,Peter,Parker,Email,Chimerical Auto Workitem,Sales,286,2018-11-03T04:04:37.000Z
121,82455069718,Justin,Case,Chat,Chimerical Auto Workitem,Router Support,121,2018-12-19T09:48:59.000Z
171,81900144956,Charles,Xavier,Call,Chimerical Auto Workitem,Auto Agent,171,2019-06-15T00:26:26.000Z
155,84674986429,Bruce,Banner,WorkItem,Chimerical Auto Workitem,Sales,155,2019-07-23T18:47:39.000Z
97,83351819834,Luke,Cage,WorkItem,Chimerical Auto Workitem,Sales,97,2019-05-28T08:40:42.000Z
292,86598817372,Steve,Rogers,Call,Chimerical Auto Workitem,Auto Agent,292,2019-03-25T08:11:41.000Z
265,82579940172,Peter,Parker,Email,Chimerical Auto Workitem,Auto Agent,265,2019-06-22T08:40:55.000Z
36,86457517957,Clint,Barton,Email,Chimerical Auto Workitem,Router Support,36,2018-10-21T05:54:27.000Z
291,87699568201,Tony,Stark,WorkItem,Chimerical Auto Workitem,Auto Agent,291,2018-12-06T05:58:13.000Z
255,89882997073,Luke,Cage,WorkItem,Chimerical Auto Workitem,Cable TV Support,255,2019-05-26T15:53:49.000Z
269,82598780395,Bruce,Banner,Call,Chimerical Auto Workitem,Router Support,269,2019-10-03T20:12:14.000Z
282,82983354870,Wade,Wilson,Email,Chimerical Auto Workitem,Cable TV Support,282,2018-11-25T17:27:19.000Z
78,86682843857,Luke,Cage,Chat,Chimerical Auto Workitem,Cable TV Support,78,2018-12-15T20:26:51.000Z
117,82957985193,Tony,Stark,Call,Chimerical Auto Workitem,Auto Agent,117,2019-02-16T23:28:08.000Z
79,81925688646,Tony,Stark,WorkItem,Chimerical Auto Workitem,Sales,79,2019-07-20T03:26:49.000Z
122,84710622525,Luke,Cage,Chat,Chimerical Auto Workitem,Sales,122,2018-11-28T17:31:33.000Z
207,81499304351,Luke,Cage,Chat,Chimerical Auto Workitem,Auto Agent,207,2019-06-16T19:41:45.000Z
271,83288618266,Justin,Case,Email,Chimerical Auto Workitem,Cable TV Support,271,2019-03-20T09:18:41.000Z
289,81967340014,Bruce,Banner,Chat,Chimerical Auto Workitem,Auto Agent,289,2019-10-01T04:42:17.000Z
223,86848915452,Charles,Xavier,Call,Chimerical Auto Workitem,Cable TV Support,223,2018-12-19T05:48:33.000Z
287,87030857000,Peter,Parker,Chat,Chimerical Auto Workitem,Auto Agent,287,2019-04-25T21:30:55.000Z
42,86418469116,Clint,Barton,Call,Chimerical Auto Workitem,Auto Agent,42,2019-02-03T01:06:29.000Z
50,83171415151,Tony,Stark,Call,Chimerical Auto Workitem,Cable TV Support,50,2019-05-11T08:36:39.000Z
270,81648358417,Luke,Cage,Email,Chimerical Auto Workitem,Auto Agent,270,2018-12-21T00:29:27.000Z
219,89429862535,Steve,Rogers,Call,Chimerical Auto Workitem,Sales,219,2018-11-06T08:38:18.000Z
205,83553213635,Tony,Stark,Chat,Chimerical Auto Workitem,Router Support,205,2019-03-15T04:00:21.000Z
251,84554891679,Peter,Parker,Chat,Chimerical Auto Workitem,Cable TV Support,251,2018-11-29T17:37:27.000Z
179,83923261474,Clint,Barton,Call,Chimerical Auto Workitem,Cable TV Support,179,2019-04-16T20:36:22.000Z
184,83667535402,Luke,Cage,WorkItem,Chimerical Auto Workitem,Router Support,184,2019-05-09T20:05:36.000Z
134,87194576937,Tony,Stark,Call,Chimerical Auto Workitem,Sales,134,2018-10-29T08:14:50.000Z
131,82349092430,Justin,Case,WorkItem,Chimerical Auto Workitem,Cable TV Support,131,2019-06-26T09:36:36.000Z
173,81500116978,Luke,Cage,WorkItem,Chimerical Auto Workitem,Cable TV Support,173,2019-02-16T20:15:03.000Z
278,89866347496,Tony,Stark,Call,Chimerical Auto Workitem,Sales,278,2018-11-12T16:55:58.000Z
255,88759314716,Tony,Stark,Call,Chimerical Auto Workitem,Router Support,255,2019-05-07T13:19:58.000Z
245,86201266129,Charles,Xavier,Chat,Chimerical Auto Workitem,Router Support,245,2018-10-28T10:25:27.000Z
29,81770094366,Peter,Parker,WorkItem,Chimerical Auto Workitem,Router Support,29,2019-04-14T15:58:09.000Z
78,84056673173,Bruce,Banner,Email,Chimerical Auto Workitem,Router Support,78,2019-09-10T12:56:16.000Z
150,82907355333,Charles,Xavier,Chat,Chimerical Auto Workitem,Cable TV Support,150,2019-01-24T19:47:46.000Z
135,88992618932,Bruce,Banner,Email,Chimerical Auto Workitem,Cable TV Support,135,2019-08-23T01:36:59.000Z
164,89712225102,Wade,Wilson,Email,Chimerical Auto Workitem,Sales,164,2019-04-21T20:17:30.000Z
279,87734760270,Luke,Cage,Chat,Chimerical Auto Workitem,Sales,279,2019-08-31T01:58:07.000Z
251,86635113416,Justin,Case,Email,Chimerical Auto Workitem,Auto Agent,251,2018-12-07T04:03:52.000Z
242,86625023847,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Sales,242,2018-10-19T06:51:08.000Z
292,84384379309,Luke,Cage,Email,Chimerical Auto Workitem,Router Support,292,2019-08-01T19:32:57.000Z
255,88395969740,Peter,Parker,WorkItem,Chimerical Auto Workitem,Auto Agent,255,2019-05-25T22:17:09.000Z
149,88517623882,Luke,Cage,Email,Chimerical Auto Workitem,Cable TV Support,149,2018-11-12T16:55:16.000Z
108,86336519793,Charles,Xavier,Call,Chimerical Auto Workitem,Auto Agent,108,2019-03-23T12:08:26.000Z
108,86327079353,Luke,Cage,WorkItem,Chimerical Auto Workitem,Sales,108,2019-06-25T17:52:38.000Z
79,89113989107,Wade,Wilson,WorkItem,Chimerical Auto Workitem,Router Support,79,2018-11-08T15:12:47.000Z
99,84913030296,Justin,Case,Email,Chimerical Auto Workitem,Auto Agent,99,2019-05-25T12:48:03.000Z
215,89960635962,Peter,Parker,Email,Chimerical Auto Workitem,Cable TV Support,215,2019-01-02T08:27:25.000Z
65,83016713267,Justin,Case,Call,Chimerical Auto Workitem,Sales,65,2019-04-29T20:57:44.000Z
